id,category,mzungu_message
409,Shopping,Bei gani ya mafuta ya kupikia? It's too expensive kwa mimi.
410,Shopping,"Ninataka kununua cooking oil, do you accept mobile money?"
411,Wants/Needs,"Naomba car, is that ok kusema hivyo?"
412,Wants/Needs,"Nataka nyama, tafadhali, do you have?"
413,Locations,How do I get to church? Tafadhali nisaidie kwa maneno sahihi.
414,Actions/Verbs,"Ninataka ku-sell kuku, sijui vitenzi vizuri."
415,Actions/Verbs,How do I say 'I want to arrive' kwa usahihi?
416,Wants/Needs,"Naomba meat, is that ok kusema hivyo?"
417,Locations,How do I get to the hospital? Tafadhali nisaidie kwa maneno sahihi.
418,Shopping,Bei gani ya suruali? It's too expensive kwa mimi.
419,Small talk,"Napenda sana chakula cha Kitanzania, especially maji!"
420,Small talk,"Napenda sana chakula cha Kitanzania, especially mboga!"
421,Learning/Classroom,How do you say 'pillow' kwa Kiswahili sahihi?
422,Locations,How do I get to the market? Tafadhali nisaidie kwa maneno sahihi.
423,Locations,Is the shop karibu au mbali? Sijui tofauti.
424,Shopping,Bei gani ya wali? It's too expensive kwa mimi.
425,Transport,Nauli ni bei gani mpaka bandarini? Please explain kwa taratibu.
426,Locations,Is school karibu au mbali? Sijui tofauti.
427,Locations,Is college karibu au mbali? Sijui tofauti.
428,Shopping,How much ni chai? Naomba unipunguzie.
429,Locations,Is the restaurant karibu au mbali? Sijui tofauti.
430,Actions/Verbs,"Ninataka ku-open mbuzi, sijui vitenzi vizuri."
431,Locations,How do I get to town? Tafadhali nisaidie kwa maneno sahihi.
432,Small talk,"Ninapenda kuku sana, I really like it too much!"
433,Learning/Classroom,How do you say 'hair' kwa Kiswahili sahihi?
434,Wants/Needs,"Nataka maji, tafadhali, do you have?"
435,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu miezi ya mwaka?"
436,Locations,"Nataka kwenda shuleni, unaweza kunielekeza?"
437,Wants/Needs,"Naomba blanket, is that ok kusema hivyo?"
438,Actions/Verbs,"Ninataka ku-cook chai, sijui vitenzi vizuri."
439,Learning/Classroom,"Nina swali kuhusu mazungumzo ya sokoni, is now a good time?"
440,Actions/Verbs,"Ninataka ku-buy kiti, sijui vitenzi vizuri."
441,Actions/Verbs,"Ninataka ku-open mkate, sijui vitenzi vizuri."
442,Wants/Needs,"Naomba banana, is that ok kusema hivyo?"
443,Wants/Needs,"Nataka kahawa, tafadhali, do you have?"
444,Actions/Verbs,"Ninataka ku-pay for taulo, sijui vitenzi vizuri."
445,Shopping,Bei gani ya chakula? It's too expensive kwa mimi.
446,Shopping,How much ni mbuzi? Naomba unipunguzie.
447,Wants/Needs,"Ninataka ku-buy gari, bei gani?"
448,Wants/Needs,"I want rice kidogo, unaweza kunisaidia?"
449,Actions/Verbs,"Ninataka ku-open chai, sijui vitenzi vizuri."
450,Learning/Classroom,How do you say 'water' kwa Kiswahili sahihi?
451,Transport,Nauli ni bei gani mpaka sokoni? Please explain kwa taratibu.
452,Learning/Classroom,How do you say 'driver' kwa Kiswahili sahihi?
453,Wants/Needs,Can I get viatu? Sijui kama ni sahihi kusema hivi.
454,Wants/Needs,"Naomba chicken, is that ok kusema hivyo?"
455,Locations,Is the port karibu au mbali? Sijui tofauti.
456,Actions/Verbs,How do I say 'I want to laugh' kwa usahihi?
457,Wants/Needs,"Nataka gari, tafadhali, do you have?"
458,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu jinsi ya kuomba msaada?"
459,Wants/Needs,"I want clothes kidogo, unaweza kunisaidia?"
460,Wants/Needs,"Ninataka ku-buy maji, bei gani?"
461,Locations,Ufukweni iko wapi? Is it far kutoka hapa?
462,Actions/Verbs,"Ninataka ku-eat mkate, sijui vitenzi vizuri."
463,Locations,Is the beach karibu au mbali? Sijui tofauti.
464,Locations,How do I get to college? Tafadhali nisaidie kwa maneno sahihi.
465,Locations,How do I get to the office? Tafadhali nisaidie kwa maneno sahihi.
466,Shopping,Bei gani ya nyanya? It's too expensive kwa mimi.
467,Wants/Needs,Can I get supu? Sijui kama ni sahihi kusema hivi.
468,Transport,Nauli ni bei gani mpaka ufukweni? Please explain kwa taratibu.
469,Wants/Needs,"Nataka samaki, tafadhali, do you have?"
470,Actions/Verbs,Nili-help jana lakini sijui kama nimesema vizuri.
471,Locations,Where is daktari? Sielewi jinsi ya kuuliza kwa usahihi.
472,Learning/Classroom,How do you say 'phone' kwa Kiswahili sahihi?
473,Transport,Nauli ni bei gani mpaka hospitalini? Please explain kwa taratibu.
474,Actions/Verbs,"Ninataka ku-cook kuku, sijui vitenzi vizuri."
475,Learning/Classroom,"Nina swali kuhusu familia, is now a good time?"
476,Shopping,Bei gani ya nguo? It's too expensive kwa mimi.
477,Locations,"Nataka kwenda mjini, unaweza kunielekeza?"
478,Learning/Classroom,How do you say 'window' kwa Kiswahili sahihi?
479,Shopping,How much ni dawa? Naomba unipunguzie.
480,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu siku za wiki?"
481,Wants/Needs,"I want fish kidogo, unaweza kunisaidia?"
482,Wants/Needs,"Naomba medicine, is that ok kusema hivyo?"
483,Shopping,Bei gani ya maji? It's too expensive kwa mimi.
484,Actions/Verbs,"Ninataka ku-wash mafuta, sijui vitenzi vizuri."
485,Actions/Verbs,Nili-run jana lakini sijui kama nimesema vizuri.
486,Small talk,"Ninapenda mboga sana, I really like it too much!"
487,Learning/Classroom,How do you say 'bank' kwa Kiswahili sahihi?
488,Small talk,"Weather leo ni a bit tired, sivyo? Sina uhakika kama nasema sawa."
489,Transport,Nauli ni bei gani mpaka stesheni? Please explain kwa taratibu.
490,Wants/Needs,"Ninataka ku-buy dawa, bei gani?"
491,Small talk,"Napenda sana chakula cha Kitanzania, especially nyama!"
492,Locations,Where is shule? Sielewi jinsi ya kuuliza kwa usahihi.
493,Wants/Needs,"I want pineapple kidogo, unaweza kunisaidia?"
494,Actions/Verbs,"Ninataka ku-sell embe, sijui vitenzi vizuri."
495,Locations,"Nataka kwenda bustanini, unaweza kunielekeza?"
496,Actions/Verbs,Nili-drink jana lakini sijui kama nimesema vizuri.
497,Shopping,Bei gani ya kiti? It's too expensive kwa mimi.
498,Locations,Hotelini iko wapi? Is it far kutoka hapa?
499,Locations,Is the mosque karibu au mbali? Sijui tofauti.
500,Actions/Verbs,How do I say 'I want to eat' kwa usahihi?
501,Shopping,"Ninataka kununua soap, do you accept mobile money?"
502,Actions/Verbs,"Ninataka ku-buy kiazi, sijui vitenzi vizuri."
503,Wants/Needs,"I want vegetables kidogo, unaweza kunisaidia?"
504,Wants/Needs,"Naomba salt, is that ok kusema hivyo?"
505,Actions/Verbs,"Ninataka ku-buy kuku, sijui vitenzi vizuri."
506,Small talk,"Ninapenda nanasi sana, I really like it too much!"
507,Wants/Needs,"Nataka mafuta ya kupikia, tafadhali, do you have?"
508,Shopping,"Ninataka kununua food, do you accept mobile money?"
509,Wants/Needs,"I want watch kidogo, unaweza kunisaidia?"
510,Locations,How do I get to the beach? Tafadhali nisaidie kwa maneno sahihi.
511,Actions/Verbs,How do I say 'I want to play' kwa usahihi?
512,Actions/Verbs,"Nita-speak kesho, is that sentensi sahihi?"
513,Wants/Needs,"Nataka nanasi, tafadhali, do you have?"
514,Small talk,"Napenda sana chakula cha Kitanzania, especially yai!"
515,Actions/Verbs,"Ninataka ku-wash sukari, sijui vitenzi vizuri."
516,Actions/Verbs,How do I say 'I want to remember' kwa usahihi?
517,Learning/Classroom,How do you say 'dog' kwa Kiswahili sahihi?
518,Locations,"Nataka kwenda chuoni, unaweza kunielekeza?"
519,Small talk,"Ninapenda viatu sana, I really like it too much!"
520,Actions/Verbs,"Ninataka ku-buy nanasi, sijui vitenzi vizuri."
521,Small talk,"Ninapenda kiazi sana, I really like it too much!"
522,Actions/Verbs,"Nita-read/study kesho, is that sentensi sahihi?"
523,Actions/Verbs,"Ninataka ku-buy blanketi, sijui vitenzi vizuri."
524,Greetings mix,"Hujambo! I am good leo, na wewe?"
525,Shopping,How much ni samaki? Naomba unipunguzie.
526,Learning/Classroom,How do you say 'meat' kwa Kiswahili sahihi?
527,Wants/Needs,"I want meat kidogo, unaweza kunisaidia?"
528,Small talk,"Weather leo ni so so, sivyo? Sina uhakika kama nasema sawa."
529,Locations,"Nataka kwenda kanisani, unaweza kunielekeza?"
530,Locations,How do I get to school? Tafadhali nisaidie kwa maneno sahihi.
531,Learning/Classroom,How do you say 'coffee' kwa Kiswahili sahihi?
532,Actions/Verbs,"Ninataka ku-sell taulo, sijui vitenzi vizuri."
533,Wants/Needs,"Ninataka ku-buy kahawa, bei gani?"
534,Small talk,"Weather leo ni great, sivyo? Sina uhakika kama nasema sawa."
535,Wants/Needs,"I want bread kidogo, unaweza kunisaidia?"
536,Wants/Needs,"I want coffee kidogo, unaweza kunisaidia?"
537,Learning/Classroom,How do you say 'heart' kwa Kiswahili sahihi?
538,Wants/Needs,"Nataka suruali, tafadhali, do you have?"
539,Greetings mix,"Mambo vipi? I'm doing great, asante sana!"
540,Learning/Classroom,"Teacher, unaweza kunifundisha kuhusu vyakula vya Kitanzania?"
541,Actions/Verbs,"Ninataka ku-sell kiti, sijui vitenzi vizuri."
542,Shopping,How much ni maji? Naomba unipunguzie.
543,Actions/Verbs,"Ninataka ku-wash ndizi, sijui vitenzi vizuri."
544,Locations,Dukani iko wapi? Is it far kutoka hapa?
545,Shopping,Bei gani ya kofia? It's too expensive kwa mimi.
546,Learning/Classroom,How do you say 'soap' kwa Kiswahili sahihi?
547,Wants/Needs,"Naomba chair, is that ok kusema hivyo?"
548,Shopping,"Ninataka kununua potato, do you accept mobile money?"
549,Learning/Classroom,How do you say 'teacher' kwa Kiswahili sahihi?
550,Actions/Verbs,How do I say 'I want to wait' kwa usahihi?
551,Shopping,Bei gani ya nyama? It's too expensive kwa mimi.
552,Locations,Kanisani iko wapi? Is it far kutoka hapa?
553,Actions/Verbs,Nili-travel jana lakini sijui kama nimesema vizuri.
554,Learning/Classroom,How do you say 'mosque' kwa Kiswahili sahihi?
555,Actions/Verbs,Nili-understand jana lakini sijui kama nimesema vizuri.
556,Wants/Needs,"I want water kidogo, unaweza kunisaidia?"
557,Actions/Verbs,"Ninataka ku-open embe, sijui vitenzi vizuri."
558,Actions/Verbs,"Nita-forget kesho, is that sentensi sahihi?"
559,Actions/Verbs,"Ninataka ku-sell mafuta ya kupikia, sijui vitenzi vizuri."
560,Shopping,"Ninataka kununua table, do you accept mobile money?"
561,Wants/Needs,"I want bag kidogo, unaweza kunisaidia?"
562,Locations,Is church karibu au mbali? Sijui tofauti.
563,Wants/Needs,"I want bus ticket kidogo, unaweza kunisaidia?"
564,Actions/Verbs,"Ninataka ku-pay for kuku, sijui vitenzi vizuri."
565,Shopping,Bei gani ya kuku? It's too expensive kwa mimi.
566,Shopping,How much ni kiti? Naomba unipunguzie.
567,Learning/Classroom,How do you say 'hotel' kwa Kiswahili sahihi?
568,Shopping,"Ninataka kununua bus ticket, do you accept mobile money?"
569,Locations,How do I get to the restaurant? Tafadhali nisaidie kwa maneno sahihi.
570,Wants/Needs,"Nataka basi tiketi, tafadhali, do you have?"
571,Actions/Verbs,"Nita-help kesho, is that sentensi sahihi?"
572,Locations,Bandarini iko wapi? Is it far kutoka hapa?
573,Wants/Needs,"Nataka wali, tafadhali, do you have?"
574,Actions/Verbs,How do I say 'I want to speak' kwa usahihi?
575,Wants/Needs,"Naomba egg, is that ok kusema hivyo?"
576,Small talk,"Napenda sana chakula cha Kitanzania, especially kiazi!"
577,Transport,Nauli ni bei gani mpaka hotelini? Please explain kwa taratibu.
578,Wants/Needs,"Ninataka ku-buy mkate, bei gani?"
579,Wants/Needs,Can I get gari? Sijui kama ni sahihi kusema hivi.
580,Shopping,How much ni embe? Naomba unipunguzie.
581,Shopping,Bei gani ya taulo? It's too expensive kwa mimi.
582,Small talk,"Ninapenda dawa sana, I really like it too much!"
583,Shopping,How much ni kuku? Naomba unipunguzie.
584,Shopping,"Ninataka kununua bread, do you accept mobile money?"
585,Actions/Verbs,Nili-write jana lakini sijui kama nimesema vizuri.
586,Actions/Verbs,How do I say 'I want to sell' kwa usahihi?
587,Shopping,"Ninataka kununua bag, do you accept mobile money?"
588,Actions/Verbs,Nili-sleep jana lakini sijui kama nimesema vizuri.
589,Actions/Verbs,Nili-laugh jana lakini sijui kama nimesema vizuri.
590,Locations,How do I get to the shop? Tafadhali nisaidie kwa maneno sahihi.
591,Locations,Bustanini iko wapi? Is it far kutoka hapa?
592,Shopping,Bei gani ya kitabu? It's too expensive kwa mimi.
593,Small talk,"Ninapenda simu sana, I really like it too much!"
594,Wants/Needs,"Nataka meza, tafadhali, do you have?"
595,Wants/Needs,"Nataka kiazi, tafadhali, do you have?"
596,Transport,Nauli ni bei gani mpaka ofisini? Please explain kwa taratibu.
597,Shopping,How much ni suruali? Naomba unipunguzie.
598,Shopping,How much ni mafuta? Naomba unipunguzie.
599,Wants/Needs,Can I get basi tiketi? Sijui kama ni sahihi kusema hivi.
600,Learning/Classroom,How do you say 'pineapple' kwa Kiswahili sahihi?
601,Small talk,"Ninapenda embe sana, I really like it too much!"
602,Locations,Is the field/airport karibu au mbali? Sijui tofauti.
603,Wants/Needs,Can I get mkate? Sijui kama ni sahihi kusema hivi.
604,Wants/Needs,"Naomba shirt, is that ok kusema hivyo?"
605,Learning/Classroom,How do you say 'bread' kwa Kiswahili sahihi?
606,Actions/Verbs,"Nita-know kesho, is that sentensi sahihi?"
607,Actions/Verbs,"Nita-pay kesho, is that sentensi sahihi?"
608,Wants/Needs,"I want tomato kidogo, unaweza kunisaidia?"
609,Wants/Needs,"I want egg kidogo, unaweza kunisaidia?"
610,Actions/Verbs,Nili-sing jana lakini sijui kama nimesema vizuri.
611,Wants/Needs,"Naomba hat, is that ok kusema hivyo?"
612,Wants/Needs,"Naomba pineapple, is that ok kusema hivyo?"
613,Wants/Needs,Can I get mafuta ya kupikia? Sijui kama ni sahihi kusema hivi.
614,Actions/Verbs,"Nita-sing kesho, is that sentensi sahihi?"
615,Actions/Verbs,"Nita-love/like kesho, is that sentensi sahihi?"
616,Wants/Needs,"Nataka viatu, tafadhali, do you have?"
617,Wants/Needs,Can I get nyanya? Sijui kama ni sahihi kusema hivi.
618,Shopping,"Ninataka kununua egg, do you accept mobile money?"
619,Small talk,"Ninapenda wali sana, I really like it too much!"
620,Actions/Verbs,"Ninataka ku-open gari, sijui vitenzi vizuri."
621,Learning/Classroom,How do you say 'farmer' kwa Kiswahili sahihi?
622,Shopping,How much ni saa? Naomba unipunguzie.
623,Shopping,How much ni shati? Naomba unipunguzie.
624,Actions/Verbs,How do I say 'I want to clean' kwa usahihi?
625,Learning/Classroom,How do you say 'month' kwa Kiswahili sahihi?
626,Wants/Needs,"Naomba coffee, is that ok kusema hivyo?"
627,Actions/Verbs,How do I say 'I want to read/study' kwa usahihi?
628,Shopping,"Ninataka kununua phone, do you accept mobile money?"
629,Actions/Verbs,Nili-remember jana lakini sijui kama nimesema vizuri.
630,Wants/Needs,"Nataka nyanya, tafadhali, do you have?"
631,Actions/Verbs,"Ninataka ku-buy meza, sijui vitenzi vizuri."
632,Learning/Classroom,How do you say 'clock/watch' kwa Kiswahili sahihi?
633,Wants/Needs,Can I get kahawa? Sijui kama ni sahihi kusema hivi.
634,Shopping,"Ninataka kununua trousers, do you accept mobile money?"
635,Wants/Needs,"Nataka chumvi, tafadhali, do you have?"
636,Actions/Verbs,"Ninataka ku-sell nguo, sijui vitenzi vizuri."
637,Actions/Verbs,"Ninataka ku-open blanketi, sijui vitenzi vizuri."
638,Learning/Classroom,How do you say 'child' kwa Kiswahili sahihi?
639,Shopping,Bei gani ya viatu? It's too expensive kwa mimi.
640,Wants/Needs,"Ninataka ku-buy embe, bei gani?"
641,Shopping,Bei gani ya chai? It's too expensive kwa mimi.
642,Shopping,"Ninataka kununua clothes, do you accept mobile money?"
643,Shopping,Bei gani ya kiazi? It's too expensive kwa mimi.
644,Actions/Verbs,"Ninataka ku-sell gari, sijui vitenzi vizuri."
645,Small talk,"Ninapenda maji sana, I really like it too much!"
646,Learning/Classroom,How do you say 'mountain' kwa Kiswahili sahihi?
647,Wants/Needs,"Ninataka ku-buy chakula, bei gani?"
648,Wants/Needs,"Ninataka ku-buy nyanya, bei gani?"
649,Actions/Verbs,"Ninataka ku-cook kiazi, sijui vitenzi vizuri."
650,Actions/Verbs,"Ninataka ku-pay for saa, sijui vitenzi vizuri."
651,Wants/Needs,"Nataka kofia, tafadhali, do you have?"
652,Actions/Verbs,How do I say 'I want to pay' kwa usahihi?
653,Learning/Classroom,How do you say 'hand' kwa Kiswahili sahihi?
654,Transport,Nauli ni bei gani mpaka stendi? Please explain kwa taratibu.
655,Small talk,"Ninapenda ndizi sana, I really like it too much!"
656,Wants/Needs,Can I get saa? Sijui kama ni sahihi kusema hivi.
657,Shopping,"Ninataka kununua shoes, do you accept mobile money?"
658,Actions/Verbs,"Nita-write kesho, is that sentensi sahihi?"
659,Shopping,"Ninataka kununua fish, do you accept mobile money?"
660,Wants/Needs,"Ninataka ku-buy samaki, bei gani?"
661,Wants/Needs,"Nataka simu, tafadhali, do you have?"
662,Wants/Needs,Can I get simu? Sijui kama ni sahihi kusema hivi.
663,Actions/Verbs,"Ninataka ku-pay for kitabu, sijui vitenzi vizuri."
664,Shopping,Bei gani ya ndizi? It's too expensive kwa mimi.
665,Actions/Verbs,"Nita-drink kesho, is that sentensi sahihi?"
666,Actions/Verbs,"Ninataka ku-close suruali, sijui vitenzi vizuri."
667,Small talk,"Ninapenda gari sana, I really like it too much!"
668,Wants/Needs,"Ninataka ku-buy kuku, bei gani?"
669,Learning/Classroom,How do you say 'school' kwa Kiswahili sahihi?
670,Wants/Needs,"Ninataka ku-buy nguo, bei gani?"
671,Locations,Nyumbani iko wapi? Is it far kutoka hapa?
672,Wants/Needs,Can I get taulo? Sijui kama ni sahihi kusema hivi.
673,Wants/Needs,"Naomba potato, is that ok kusema hivyo?"
674,Actions/Verbs,"Ninataka ku-cook ndizi, sijui vitenzi vizuri."
675,Locations,Where is hospitali? Sielewi jinsi ya kuuliza kwa usahihi.
676,Small talk,"Ninapenda mbuzi sana, I really like it too much!"
677,Shopping,"Ninataka kununua salt, do you accept mobile money?"
678,Shopping,How much ni taulo? Naomba unipunguzie.
679,Shopping,How much ni begi? Naomba unipunguzie.
680,Shopping,"Ninataka kununua chair, do you accept mobile money?"
681,Shopping,"Ninataka kununua tea, do you accept mobile money?"
682,Actions/Verbs,"Ninataka ku-cook mkate, sijui vitenzi vizuri."
683,Wants/Needs,"Naomba soup, is that ok kusema hivyo?"
684,Actions/Verbs,"Ninataka ku-buy mafuta ya kupikia, sijui vitenzi vizuri."
685,Locations,"Nataka kwenda benki, unaweza kunielekeza?"
686,Actions/Verbs,"Ninataka ku-close kofia, sijui vitenzi vizuri."
687,Wants/Needs,"Naomba phone, is that ok kusema hivyo?"
688,Shopping,How much ni supu? Naomba unipunguzie.
689,Wants/Needs,Can I get kiazi? Sijui kama ni sahihi kusema hivi.
690,Actions/Verbs,"Ninataka ku-buy gari, sijui vitenzi vizuri."
691,Learning/Classroom,How do you say 'friend' kwa Kiswahili sahihi?
692,Shopping,"Ninataka kununua coffee, do you accept mobile money?"
693,Wants/Needs,Can I get nanasi? Sijui kama ni sahihi kusema hivi.
694,Learning/Classroom,How do you say 'car' kwa Kiswahili sahihi?
695,Shopping,"Ninataka kununua blanket, do you accept mobile money?"
696,Wants/Needs,"I want shoes kidogo, unaweza kunisaidia?"
697,Learning/Classroom,How do you say 'hospital' kwa Kiswahili sahihi?
698,Actions/Verbs,"Ninataka ku-pay for begi, sijui vitenzi vizuri."
699,Shopping,How much ni chakula? Naomba unipunguzie.
700,Small talk,"Ninapenda saa sana, I really like it too much!"
701,Actions/Verbs,"Ninataka ku-eat nanasi, sijui vitenzi vizuri."
702,Wants/Needs,"Nataka mboga, tafadhali, do you have?"
703,Shopping,"Ninataka kununua water, do you accept mobile money?"
704,Wants/Needs,Can I get chakula? Sijui kama ni sahihi kusema hivi.
705,Actions/Verbs,"Ninataka ku-wash kahawa, sijui vitenzi vizuri."
706,Shopping,How much ni nyama? Naomba unipunguzie.
707,Learning/Classroom,How do you say 'chair' kwa Kiswahili sahihi?
708,Wants/Needs,"Ninataka ku-buy taulo, bei gani?"
709,Actions/Verbs,"Ninataka ku-close kiti, sijui vitenzi vizuri."
710,Small talk,"Ninapenda mafuta sana, I really like it too much!"
711,Wants/Needs,"Naomba clothes, is that ok kusema hivyo?"
712,Wants/Needs,"Nataka dawa, tafadhali, do you have?"
713,Actions/Verbs,"Ninataka ku-wash kitabu, sijui vitenzi vizuri."
714,Learning/Classroom,How do you say 'food' kwa Kiswahili sahihi?
715,Actions/Verbs,"Ninataka ku-sell maji, sijui vitenzi vizuri."
716,Actions/Verbs,"Ninataka ku-open mafuta ya kupikia, sijui vitenzi vizuri."
717,Actions/Verbs,How do I say 'I want to walk' kwa usahihi?
718,Shopping,"Ninataka kununua shirt, do you accept mobile money?"
719,Small talk,"Ninapenda chai sana, I really like it too much!"
720,Actions/Verbs,How do I say 'I want to want' kwa usahihi?
721,Actions/Verbs,"Ninataka ku-pay for samaki, sijui vitenzi vizuri."
722,Actions/Verbs,"Nita-cook kesho, is that sentensi sahihi?"
723,Small talk,"Ninapenda mafuta ya kupikia sana, I really like it too much!"
724,Actions/Verbs,How do I say 'I want to forget' kwa usahihi?
725,Shopping,How much ni meza? Naomba unipunguzie.
726,Actions/Verbs,"Ninataka ku-sell mkate, sijui vitenzi vizuri."
727,Actions/Verbs,"Ninataka ku-eat mboga, sijui vitenzi vizuri."
728,Actions/Verbs,"Ninataka ku-eat kahawa, sijui vitenzi vizuri."
729,Wants/Needs,"I want potato kidogo, unaweza kunisaidia?"
730,Actions/Verbs,"Ninataka ku-pay for viatu, sijui vitenzi vizuri."
731,Actions/Verbs,"Ninataka ku-buy saa, sijui vitenzi vizuri."
732,Actions/Verbs,"Ninataka ku-wash supu, sijui vitenzi vizuri."
733,Shopping,How much ni chumvi? Naomba unipunguzie.
734,Locations,"Nataka kwenda kijijini, unaweza kunielekeza?"
735,Wants/Needs,"Ninataka ku-buy mbuzi, bei gani?"
736,Wants/Needs,"Ninataka ku-buy suruali, bei gani?"
737,Wants/Needs,Can I get kitabu? Sijui kama ni sahihi kusema hivi.
738,Actions/Verbs,"Ninataka ku-sell nanasi, sijui vitenzi vizuri."
739,Wants/Needs,"Ninataka ku-buy mafuta, bei gani?"
740,Wants/Needs,Can I get maji? Sijui kama ni sahihi kusema hivi.
741,Small talk,"Ninapenda mkate sana, I really like it too much!"
742,Actions/Verbs,"Ninataka ku-wash nyama, sijui vitenzi vizuri."
743,Wants/Needs,"Ninataka ku-buy supu, bei gani?"
744,Learning/Classroom,How do you say 'year' kwa Kiswahili sahihi?
745,Learning/Classroom,How do you say 'police officer' kwa Kiswahili sahihi?
746,Actions/Verbs,How do I say 'I want to think' kwa usahihi?
747,Actions/Verbs,"Ninataka ku-eat supu, sijui vitenzi vizuri."
748,Actions/Verbs,"Ninataka ku-buy nyama, sijui vitenzi vizuri."
749,Actions/Verbs,"Ninataka ku-drink nyanya, sijui vitenzi vizuri."
750,Actions/Verbs,"Ninataka ku-open viatu, sijui vitenzi vizuri."
751,Wants/Needs,"I want shirt kidogo, unaweza kunisaidia?"
752,Actions/Verbs,Nili-play jana lakini sijui kama nimesema vizuri.
753,Small talk,"Ninapenda nyama sana, I really like it too much!"
754,Actions/Verbs,"Ninataka ku-sell chumvi, sijui vitenzi vizuri."
755,Wants/Needs,Can I get mbuzi? Sijui kama ni sahihi kusema hivi.
756,Actions/Verbs,"Ninataka ku-buy mkate, sijui vitenzi vizuri."
757,Learning/Classroom,How do you say 'table' kwa Kiswahili sahihi?
758,Wants/Needs,"Ninataka ku-buy shati, bei gani?"
759,Wants/Needs,"Naomba watch, is that ok kusema hivyo?"
760,Locations,Where is basi? Sielewi jinsi ya kuuliza kwa usahihi.
761,Actions/Verbs,"Nita-open kesho, is that sentensi sahihi?"
762,Actions/Verbs,"Ninataka ku-wash mboga, sijui vitenzi vizuri."
763,Actions/Verbs,"Ninataka ku-pay for chumvi, sijui vitenzi vizuri."
764,Actions/Verbs,"Ninataka ku-pay for supu, sijui vitenzi vizuri."
765,Actions/Verbs,"Ninataka ku-eat nyanya, sijui vitenzi vizuri."
766,Learning/Classroom,How do you say 'market' kwa Kiswahili sahihi?
767,Actions/Verbs,"Ninataka ku-wash mafuta ya kupikia, sijui vitenzi vizuri."
768,Learning/Classroom,How do you say 'chicken' kwa Kiswahili sahihi?
769,Actions/Verbs,"Nita-laugh kesho, is that sentensi sahihi?"
770,Actions/Verbs,"Ninataka ku-buy nyanya, sijui vitenzi vizuri."
771,Actions/Verbs,"Ninataka ku-cook samaki, sijui vitenzi vizuri."
772,Actions/Verbs,"Ninataka ku-wash begi, sijui vitenzi vizuri."
773,Actions/Verbs,"Ninataka ku-close simu, sijui vitenzi vizuri."
774,Wants/Needs,"Ninataka ku-buy kiti, bei gani?"
775,Wants/Needs,Can I get dawa? Sijui kama ni sahihi kusema hivi.
776,Actions/Verbs,"Ninataka ku-cook embe, sijui vitenzi vizuri."
777,Wants/Needs,Can I get chai? Sijui kama ni sahihi kusema hivi.
778,Actions/Verbs,Nili-speak jana lakini sijui kama nimesema vizuri.
779,Learning/Classroom,How do you say 'shoes' kwa Kiswahili sahihi?
780,Actions/Verbs,"Ninataka ku-buy yai, sijui vitenzi vizuri."
781,Wants/Needs,"Ninataka ku-buy kiazi, bei gani?"
782,Actions/Verbs,"Ninataka ku-sell basi tiketi, sijui vitenzi vizuri."
783,Actions/Verbs,"Ninataka ku-close mkate, sijui vitenzi vizuri."
784,Learning/Classroom,How do you say 'engineer' kwa Kiswahili sahihi?
785,Learning/Classroom,How do you say 'potato' kwa Kiswahili sahihi?
786,Learning/Classroom,How do you say 'key' kwa Kiswahili sahihi?
787,Locations,How do I get to the garden/park? Tafadhali nisaidie kwa maneno sahihi.
788,Actions/Verbs,"Ninataka ku-close yai, sijui vitenzi vizuri."
789,Locations,Msikitini iko wapi? Is it far kutoka hapa?
790,Learning/Classroom,How do you say 'mango' kwa Kiswahili sahihi?
791,Wants/Needs,"Ninataka ku-buy mafuta ya kupikia, bei gani?"
792,Actions/Verbs,Nili-buy jana lakini sijui kama nimesema vizuri.
793,Learning/Classroom,How do you say 'mother' kwa Kiswahili sahihi?
794,Learning/Classroom,How do you say 'cloud' kwa Kiswahili sahihi?
795,Actions/Verbs,"Ninataka ku-pay for nanasi, sijui vitenzi vizuri."
796,Learning/Classroom,How do you say 'wind' kwa Kiswahili sahihi?
797,Actions/Verbs,"Ninataka ku-close sabuni, sijui vitenzi vizuri."
798,Actions/Verbs,"Ninataka ku-sell ndizi, sijui vitenzi vizuri."
799,Actions/Verbs,"Ninataka ku-buy chai, sijui vitenzi vizuri."
800,Learning/Classroom,How do you say 'cat' kwa Kiswahili sahihi?
801,Locations,Uwanjani iko wapi? Is it far kutoka hapa?
802,Wants/Needs,"I want blanket kidogo, unaweza kunisaidia?"
803,Wants/Needs,Can I get sukari? Sijui kama ni sahihi kusema hivi.
804,Actions/Verbs,"Ninataka ku-wash embe, sijui vitenzi vizuri."
805,Actions/Verbs,"Ninataka ku-cook nyama, sijui vitenzi vizuri."
806,Wants/Needs,"Ninataka ku-buy mboga, bei gani?"
807,Wants/Needs,"Nataka blanketi, tafadhali, do you have?"
808,Actions/Verbs,"Ninataka ku-pay for chai, sijui vitenzi vizuri."
809,Actions/Verbs,"Ninataka ku-wash shati, sijui vitenzi vizuri."
810,Wants/Needs,"I want hat kidogo, unaweza kunisaidia?"
811,Learning/Classroom,How do you say 'salt' kwa Kiswahili sahihi?
